origin_country,origin_wps_score,origin_region,asylum_country,asylum_wps_score,asylum_region,total_female_displaced,female_percentage
Sri Lanka,0.706,SA,France,0.864,DC,12862,0.34805433782540457
Peru,0.701,LAC,Spain,0.862,DC,12738,0.51926134279075453
Rwanda,0.624,SSA,Uganda,0.587,SSA,12575,0.51930621515589515
Stateless,,,Germany,0.869,DC,12445,0.43192309027175235
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Costa Rica,0.824,LAC,12355,0.42104007633587787
Eritrea,,,United Kingdom of Great Britain and Northern Ireland,0.864,DC,12171,0.43051183191256059
Afghanistan,0.279,"SA, FS",United Kingdom of Great Britain and Northern Ireland,0.864,DC,12016,0.18231750800370219
Colombia,0.551,LAC,Ecuador,0.612,LAC,11804,0.505827905382242
Peru,0.701,LAC,Italy,0.811,DC,11534,0.5199008338967771
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Trinidad and Tobago,0.685,LAC,11340,0.38447194439735549
Nigeria,0.495,"SSA, FS",Chad,0.476,"SSA, FS",11301,0.516451878256101
Nigeria,0.495,"SSA, FS",Canada,0.885,DC,11253,0.39089203834931219
Pakistan,0.462,SA,Afghanistan,0.279,"SA, FS",11199,0.53010508378301624
Colombia,0.551,LAC,Venezuela (Bolivarian Republic of),0.638,"LAC, FS",10991,0.52981441311159316
Colombia,0.551,LAC,Canada,0.885,DC,10836,0.49599487343800064
Ethiopia,0.516,"SSA, FS",Egypt,0.617,MENA,10492,0.5822742660525001
Iran (Islamic Rep. of),0.608,SA,Canada,0.885,DC,10424,0.52697032505940045
Syrian Arab Rep.,0.364,"MENA, FS",Switzerland,0.877,DC,10412,0.50345727962864462
Syrian Arab Rep.,0.364,"MENA, FS",Denmark,0.939,DC,10186,0.471879922171778
Syrian Arab Rep.,0.364,"MENA, FS",Sweden,0.924,DC,10070,0.38203270230281877
Unknown ,,,Belgium,0.912,DC,10038,0.45864936489079777
Nigeria,0.495,"SSA, FS",Germany,0.869,DC,9938,0.5130084658269668
Cuba,,,Uruguay,0.822,LAC,9919,0.41550770777479895
Afghanistan,0.279,"SA, FS",Greece,0.752,DC,9886,0.33809849521203833
Syrian Arab Rep.,0.364,"MENA, FS",United Kingdom of Great Britain and Northern Ireland,0.864,DC,9807,0.36808917914649253
Syrian Arab Rep.,0.364,"MENA, FS",Spain,0.862,DC,9561,0.51441945550414292
Sudan,0.397,"MENA, FS",United Kingdom of Great Britain and Northern Ireland,0.864,DC,9479,0.40555341633508751
Serbia and Kosovo: S/RES/1244 (1999),0.844,CEE&CA,France,0.864,DC,9257,0.46608932077941695
Syrian Arab Rep.,0.364,"MENA, FS",Belgium,0.912,DC,9140,0.3684592437313553
Türkiye,0.664,CEE&CA,Switzerland,0.877,DC,8880,0.48641542506573182
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Bolivia (Plurinational State of),0.701,LAC,8828,0.30400495884844519
Haiti,0.399,"LAC, FS",France,0.864,DC,8556,0.43314939502860322
Syrian Arab Rep.,0.364,"MENA, FS",Greece,0.752,DC,8060,0.31473310164395329
Dem. Rep. of the Congo,0.583,"SSA, FS",South Sudan,0.411,"SSA, FS",7505,0.5321185479296654
Afghanistan,0.279,"SA, FS",Sweden,0.924,DC,7488,0.28898923237235152
Burkina Faso,0.507,"SSA, FS",Benin,0.587,SSA,7449,0.54131240462175712
Guatemala,0.561,LAC,Mexico,0.558,LAC,7418,0.23447970666329498
Iraq,0.51,"MENA, FS",United Kingdom of Great Britain and Northern Ireland,0.864,DC,7372,0.3686921730432608
Mauritania,0.475,SSA,Mali,0.478,"SSA, FS",7352,0.48980679546968686
Nigeria,0.495,"SSA, FS",Italy,0.811,DC,7317,0.30524383630219848
Angola,0.601,SSA,Zambia,0.566,SSA,7264,0.52779190583448377
Ethiopia,0.516,"SSA, FS",South Africa,0.648,SSA,7156,0.15266784716147888
Ukraine,0.645,"CEE&CA, FS",Slovenia,0.889,CEE&CA,7105,0.62199072047623216
Somalia,0.455,"MENA, FS",Djibouti,0.56,MENA,7050,0.51606763780103948
Tibetan,,,Nepal,0.631,SA,6897,0.55
Türkiye,0.664,CEE&CA,France,0.864,DC,6896,0.23820379965457686
Chad,0.476,"SSA, FS",Central African Rep.,0.362,"SSA, FS",6880,0.536870854467421
Ethiopia,0.516,"SSA, FS",Djibouti,0.56,MENA,6858,0.49710060887213686
Mali,0.478,"SSA, FS",France,0.864,DC,6746,0.63218067660013122
Iraq,0.51,"MENA, FS",France,0.864,DC,6557,0.45569532281604
Somalia,0.455,"MENA, FS",Austria,0.898,DC,6545,0.51200813580536653
Iraq,0.51,"MENA, FS",Syrian Arab Rep.,0.364,"MENA, FS",6499,0.21560561324353913
Albania,0.731,CEE&CA,France,0.864,DC,6415,0.50607447144209528
Bangladesh,0.526,SA,Canada,0.885,DC,6402,0.29151677974591322
Somalia,0.455,"MENA, FS",South Africa,0.648,SSA,6352,0.23272514105664249
Mauritania,0.475,SSA,Senegal,0.657,SSA,6344,0.54812510800069125
Afghanistan,0.279,"SA, FS",Tajikistan,0.685,CEE&CA,6266,0.484571958858557
China,0.685,EAP,France,0.864,DC,6201,0.42272820233144726
Iraq,0.51,"MENA, FS",Iran (Islamic Rep. of),0.608,SA,6093,0.5004517453798768
Afghanistan,0.279,"SA, FS",Switzerland,0.877,DC,5887,0.24823951085810669
Dem. Rep. of the Congo,0.583,"SSA, FS",Canada,0.885,DC,5861,0.47946662303664922
Dem. Rep. of the Congo,0.583,"SSA, FS",Zimbabwe,0.59,"SSA, FS",5848,0.45641145711386871
Mali,0.478,"SSA, FS",Spain,0.862,DC,5833,0.451925311846285
Somalia,0.455,"MENA, FS",France,0.864,DC,5831,0.3533725228774014
Nigeria,0.495,"SSA, FS",France,0.864,DC,5830,0.5641025641025641
Türkiye,0.664,CEE&CA,Canada,0.885,DC,5796,0.28667523988525079
Pakistan,0.462,SA,Canada,0.885,DC,5759,0.37123702700960487
Honduras,0.561,LAC,Guatemala,0.561,LAC,5686,0.15836234507728728
Iraq,0.51,"MENA, FS",Austria,0.898,DC,5647,0.53323890462700663
Ethiopia,0.516,"SSA, FS",Yemen,0.323,"MENA, FS",5563,0.3464964185611959
Ethiopia,0.516,"SSA, FS",Uganda,0.587,SSA,5548,0.37400566266684643
Unknown ,,,Bolivia (Plurinational State of),0.701,LAC,5522,0.47751643030093394
Afghanistan,0.279,"SA, FS",Italy,0.811,DC,5380,0.25767517601417694
Eritrea,,,Sweden,0.924,DC,5338,0.36143273071975085
Pakistan,0.462,SA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,5265,0.23753665689149561
Burundi,0.407,"SSA, FS",Malawi,0.549,SSA,5261,0.42382985579634253
Eritrea,,,France,0.864,DC,5256,0.35636314326395008
Burkina Faso,0.507,"SSA, FS",Ghana,0.639,SSA,5223,0.55310812241872287
Central African Rep.,0.362,"SSA, FS",Sudan,0.397,"MENA, FS",5193,0.51630542851461525
Cameroon,0.451,"SSA, FS",Chad,0.476,"SSA, FS",5173,0.56677988386107159
Cambodia,0.667,EAP,France,0.864,DC,5094,0.47997738622444175
Syrian Arab Rep.,0.364,"MENA, FS",Sudan,0.397,"MENA, FS",5092,0.51643002028397567
Colombia,0.551,LAC,Costa Rica,0.824,LAC,5074,0.43441780821917808
Ukraine,0.645,"CEE&CA, FS",Montenegro,0.743,CEE&CA,5010,0.26996443582282575
Syrian Arab Rep.,0.364,"MENA, FS",Norway,0.924,DC,4970,0.24876119925922219
Ethiopia,0.516,"SSA, FS",Germany,0.869,DC,4916,0.49096174972535706
Ghana,0.639,SSA,Togo,0.562,SSA,4908,0.5817233613843783
Sudan,0.397,"MENA, FS",France,0.864,DC,4783,0.14359051335935155
Pakistan,0.462,SA,Italy,0.811,DC,4770,0.11922615476904619
Rwanda,0.624,SSA,Congo,0.583,"SSA, FS",4730,0.44893697798025817
Guinea,0.527,SSA,Germany,0.869,DC,4642,0.42886178861788615
Dem. Rep. of the Congo,0.583,"SSA, FS",Angola,0.601,SSA,4634,0.20218150087260034
Sudan,0.397,"MENA, FS",Kenya,0.542,SSA,4575,0.37595529624455581
Somalia,0.455,"MENA, FS",Egypt,0.617,MENA,4551,0.57644078530715648
Iran (Islamic Rep. of),0.608,SA,Iraq,0.51,"MENA, FS",4550,0.48163438128506403
Sri Lanka,0.706,SA,Canada,0.885,DC,4523,0.30954010402408977
Georgia,0.798,CEE&CA,Italy,0.811,DC,4502,0.76021614319486663
Nicaragua,0.659,LAC,Mexico,0.558,LAC,4501,0.33419958419958418
Afghanistan,0.279,"SA, FS",India,0.607,SA,4422,0.45288816058992215
Dem. Rep. of the Congo,0.583,"SSA, FS",Mozambique,0.548,"SSA, FS",4392,0.43399209486166007
China,0.685,EAP,Canada,0.885,DC,4364,0.44005243521226178
Azerbaijan,0.653,CEE&CA,Germany,0.869,DC,4330,0.43870314083080042
Iran (Islamic Rep. of),0.608,SA,Austria,0.898,DC,4328,0.53313624045331365
Pakistan,0.462,SA,Germany,0.869,DC,4311,0.33333333333333331
Chile,0.739,LAC,Mexico,0.558,LAC,4309,0.507598068088114
Yemen,0.323,"MENA, FS",Egypt,0.617,MENA,4285,0.52615422396856582
Nicaragua,0.659,LAC,Spain,0.862,DC,4210,0.48681776133209992
Mali,0.478,"SSA, FS",Italy,0.811,DC,4210,0.22909071121510585
Brazil,0.632,LAC,Mexico,0.558,LAC,4165,0.49406880189798341
Georgia,0.798,CEE&CA,France,0.864,DC,4100,0.45489847997337179
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Germany,0.869,DC,4094,0.48854415274463009
Unknown ,,,Uruguay,0.822,LAC,4020,0.515979976896419
Unknown ,,,France,0.864,DC,4001,0.43202677896555447
Syrian Arab Rep.,0.364,"MENA, FS",Libya,0.608,"MENA, FS",3945,0.45989741198414547
Armenia,0.762,CEE&CA,Germany,0.869,DC,3939,0.48177592954990217
State of Palestine,,,Greece,0.752,DC,3920,0.323405659599043
Afghanistan,0.279,"SA, FS",Brazil,0.632,LAC,3906,0.53749827989541765
Honduras,0.561,LAC,Spain,0.862,DC,3877,0.48535302954431647
Kenya,0.542,SSA,Canada,0.885,DC,3833,0.4765634713415392
Angola,0.601,SSA,France,0.864,DC,3806,0.41066033664220974
Serbia and Kosovo: S/RES/1244 (1999),0.844,CEE&CA,Germany,0.869,DC,3783,0.51736870897155363
Yemen,0.323,"MENA, FS",Somalia,0.455,"MENA, FS",3741,0.303357119688615
Nigeria,0.495,"SSA, FS",Ireland,0.891,DC,3620,0.484994640943194
Türkiye,0.664,CEE&CA,Iraq,0.51,"MENA, FS",3620,0.44076464142213562
Central African Rep.,0.362,"SSA, FS",France,0.864,DC,3609,0.48968792401628225
Iraq,0.51,"MENA, FS",Finland,0.921,DC,3603,0.41247853463079565
Uganda,0.587,SSA,Canada,0.885,DC,3569,0.505237825594564
Dem. Rep. of the Congo,0.583,"SSA, FS",Central African Rep.,0.362,"SSA, FS",3539,0.52097747681436768
Burundi,0.407,"SSA, FS",Mozambique,0.548,"SSA, FS",3496,0.37358409916648855
State of Palestine,,,Iraq,0.51,"MENA, FS",3491,0.47920384351407
Congo,0.583,"SSA, FS",South Africa,0.648,SSA,3486,0.4284134201794273
Syrian Arab Rep.,0.364,"MENA, FS",Algeria,0.621,MENA,3436,0.38881973520425483
Armenia,0.762,CEE&CA,France,0.864,DC,3434,0.43873770282355945
Rwanda,0.624,SSA,Malawi,0.549,SSA,3424,0.48519200793538331
State of Palestine,,,Belgium,0.912,DC,3400,0.23255813953488372
Ethiopia,0.516,"SSA, FS",South Sudan,0.411,"SSA, FS",3399,0.48267537631354729
Bosnia and Herzegovina,0.753,CEE&CA,France,0.864,DC,3333,0.48171701112877585
Sri Lanka,0.706,SA,Switzerland,0.877,DC,3326,0.53766569673456188
Yemen,0.323,"MENA, FS",Jordan,0.686,MENA,3319,0.29052871148459386
Viet Nam,0.721,EAP,France,0.864,DC,3296,0.42894325871941696
Indonesia,0.678,EAP,Papua New Guinea,0.507,"EAP, FS",3293,0.30128087831655992
Somalia,0.455,"MENA, FS",Sweden,0.924,DC,3281,0.44022541258553605
Iraq,0.51,"MENA, FS",Greece,0.752,DC,3271,0.32540787902904894
Eritrea,,,Belgium,0.912,DC,3255,0.34455382661162276
Congo,0.583,"SSA, FS",France,0.864,DC,3248,0.44444444444444442
Unknown ,,,Austria,0.898,DC,3206,0.53167495854063018
Cuba,,,Spain,0.862,DC,3186,0.4616053317878876
Stateless,,,Tajikistan,0.685,CEE&CA,3158,0.70712046574115539
Burundi,0.407,"SSA, FS",Zambia,0.566,SSA,3156,0.22429109516025869
Cote d'Ivoire,0.589,SSA,Italy,0.811,DC,3108,0.41701328324164766
Syrian Arab Rep.,0.364,"MENA, FS",United Arab Emirates,0.872,MENA,3078,0.48756534135910029
Dem. Rep. of the Congo,0.583,"SSA, FS",Sweden,0.924,DC,3053,0.54811490125673246
Ghana,0.639,SSA,Canada,0.885,DC,3047,0.3079644228825551
Georgia,0.798,CEE&CA,Germany,0.869,DC,3042,0.41047092160302251
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Canada,0.885,DC,3001,0.43752733634640617
Türkiye,0.664,CEE&CA,Netherlands (Kingdom of the),0.905,DC,2996,0.20788232028864834
Colombia,0.551,LAC,Guatemala,0.561,LAC,2992,0.31254570145200039
Libya,0.608,"MENA, FS",United Kingdom of Great Britain and Northern Ireland,0.864,DC,2984,0.43940509497864821
Colombia,0.551,LAC,Germany,0.869,DC,2961,0.46013986013986014
Bhutan,0.673,SA,Nepal,0.631,SA,2957,0.46457187745483108
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Italy,0.811,DC,2952,0.38427492840406147
Zimbabwe,0.59,"SSA, FS",South Africa,0.648,SSA,2936,0.41474784574092388
Mauritania,0.475,SSA,France,0.864,DC,2905,0.28394096373766003
